SITE,X,Y,JULIAN,PERIOD,OM,P,K,CA,MG,ZN,soilNA,S,PH,TEXTURE,SAND,CLAY,SILT,LICHEN,LITTER,MOSS,ROAD,ROCK,ROOT,SOIL,STREAM,TRAMPLING,TRASH,WATER,WOOD,WRACKI,CRUSTACEAN,CANOPY,Acer rubrum,Acer saccharinum,Asimina triloba,Carpinus caroliniana,Carya carolinae-septentrionalis,Carya glabra,Carya ovata,Carya pallida,Carya sp,Carya tomentosa ,Cercis canadensis,Cornus florida,Fagus grandifolia,Fraxinus americana,Fraxinus pennsylvanica,Fraxinus sp,Hamamelis virginiana,Ilex decidua ,Liquidambar styraciflua ,Liriodendron tulipfera,Magnolia sp,Morus rubra,Nyssa sylvatica,Pinus taeda,Platanus occidentalis,Prunus americana,Prunus serotina,Quercus alba,Quercus coccinea,Quercus falcata,Quercus lyrata,Quercus marilandica,Quercus nigra,Quercus pagoda,Quercus phellos,Quercus stellata,Quercus velutina,Taxodium distichum,Ulmus alata,Ulmus americana,Ulmus rubra,Ulmus sp,ELEV,WATER 20,WATER 150,WATER 500,TRANSPORT,OWNERSHIP,GRASS,MIXFOR,DEVOP,DECID,WETE,PAST,OPENH20,EVRGRN,SHRSCR,BARREN,DEVLO,WETW,CROP,DEVMED,DEVHI,DISTURB,INTENSITY
64,13,13,2453976.5,1,2.37,45,64,271,66,0.9,62,341,4.9,Loamy Sand,0.74,0.1,0.16,0,96.7,0,0,0,0,0,0,0,0,0,3.3,0,0,95.75,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148,0,0,0,60,USFS,649,247,134,0,1194,661,2724,339,234,5090,2279,1020,1092,4310,8897,NONE,NONE
65,22,10,2453976.5,1,3.09,33,324,1254,990,4.3,70,445,5,Sandy Clay Loam,0.61,0.32,0.08,0,90,0,0,0,0,0,0,0,0,0,10,0,0,91.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152,0,0,0,195,USFS,592,150,180,0,2072,1945,2242,170,60,3361,2001,1176,2394,3773,9534,MOW,MED
123,24,20,2453895.5,1,2.6,57,189,1951,819,4.7,98,374,4.9,Sandy Clay Loam,0.54,0.29,0.17,0,93.3,0,0,0,3.3,3.3,0,0,0,0,0,0,0,85.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,5,5,5,660,USFWS,977,342,636,360,0,741,750,301,631,3520,751,60,808,1740,13382,NONE,NONE
161,20,14,2453978.5,1,2.95,40,296,2059,1430,10.8,100,425,5,Clay Loam,0.42,0.36,0.21,0,100,0,0,0,0,0,0,0,0,0,0,0,0,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,1.6,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,0,0,0,400,USF,771,247,390,256,769,420,589,0,488,3856,418,342,892,1905,10881,NONE,NONE
162,19,11,2453976.5,1,2.45,21,234,1442,709,2.6,86,353,5.2,Sandy Clay Loam,0.5,0.29,0.21,0,73.3,0,0,0,6.7,6.7,0,0,0,0,13.3,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140,0,0,5,215,USFS,0,192,240,175,660,752,3282,90,700,3030,1167,277,1550,1194,7755,FIRE,HIGH
201,23,22,2453979.5,1,1.34,16,41,225,45,1.4,76,193,5,Sandy Loam,0.64,0.11,0.25,0,96.7,0,0,0,0,0,0,0,0,0,3.3,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,0,0,0,300,MDWFP,124,90,331,150,691,402,830,0,272,5432,361,182,600,2330,11705,MOW,HIGH
202,34,12,2453892.5,1,1.83,19,116,263,268,3.6,89,264,4.4,Clay Loam,0.39,0.3,0.31,0,93.3,0,0,0,3.3,3.3,0,0,0,0,6.7,0,0.3,91.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0,0,0,0,0,1.3,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0,0,315,USFWS,912,0,553,366,1510,900,1822,90,488,7262,3268,95,721,9301,17142,NONE,NONE
414,24,20,2453895.5,1,1.7,54,106,669,524,7.8,108,245,4.8,Sandy Clay Loam,0.56,0.25,0.19,0,70,0,0,0,0,20,0,0,0,0,10,0,0,90.75,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0,0.6,0,0,0,0,0,0,0,86,0,10,5,570,USFWS,759,481,541,510,192,660,1106,721,636,3939,824,0,751,1790,12980,FLOOD,LOW
415,34,18,2453895.5,1,1.65,89,178,1034,697,10.7,154,238,4.3,Clay,0.31,0.4,0.28,0,50,0,0,0,3.3,33.3,0,0,0,0,6.7,0,0,93.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3,0,0,0,0,0,0.4,0,0,84.8,0,10,5,295,USFWS,277,451,630,272,362,968,379,547,1084,9881,2123,0,451,5350,12131,STORM,MED
416,30,18,2453895.5,1,2.58,114,215,1720,777,14.4,134,372,4.5,Clay Loam,0.42,0.3,0.28,0,60,0,0,0,0,26.7,0,0,0,0,13.3,0,0,90.25,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,60.9,0,0,5,1080,USFWS,1924,594,886,700,1354,2809,2337,866,1537,6224,4763,0,3180,7590,12930,STORM,LOW
1008,1,9,2454649.5,1,5.04,128,405,2754,2093,11.3,115,726,5.1,Sandy Loam,0.67,0.08,0.25,0,90,0,0,0,0,10,0,0,0,0,0,0,0,95.25,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0.6,0.4,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,190,0,0,0,525,MDWFP,983,153,518,0,2831,1112,1798,216,95,7032,1655,361,1987,2644,7353,NONE,NONE
1041,17,12,2454260.5,1,0.83,5,108,733,597,1.3,73,120,5.1,Sandy Clay Loam,0.49,0.25,0.26,0,100,0,0,0,0,0,0,0,0,0,0,0,0,23.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109.3,0,0,0,55,USFS,767,0,30,242,849,702,3077,30,85,3913,124,85,841,366,8040,NONE,NONE
1082,20,9,2454613.5,1,3.35,63,367,1884,1140,6.5,100,482,5,Sandy Loam,0.66,0.11,0.23,0,60,3.3,0,0,0,0,0,0,0,0,3.3,0,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,480,USFS,201,67,510,0,1535,830,1566,150,484,1140,698,793,2929,3120,6565,NONE,NONE
1141,8,7,2454260.5,1,2.03,20,154,919,577,3.2,66,292,4.7,Sandy Loam,0.55,0.16,0.29,0,96.7,0,0,0,0,3.3,0,0,0,0,0,0,0,94.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0.4,0,0,0,0,0,0,0.8,0,0,0,0,0,0,0,0,0.2,0,0,0,140.3,0,0,0,285,MDWFP,391,67,859,0,2919,875,2069,170,67,6427,1221,1261,4236,4543,5777,NONE,NONE
1159,16,16,2454260.5,1,4.51,45,491,3273,1604,9.9,80,649,5,Clay Loam,0.37,0.3,0.33,0,90,3.3,0,0,3.3,3.3,0,0,0,0,0,0,0,97.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0.9,0,0,0,0,0,0,0,0,0,129.5,0,0,10,65,USFS,1006,124,42,42,541,0,182,182,30,3615,309,175,742,4447,8946,NONE,NONE
1268,2,19,2454649.5,1,1.39,82,132,773,270,2.7,102,200,5.4,Sandy Loam,0.62,0.09,0.29,0,83.3,0,0,0,0,6.7,0,0,0,0,10,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143.5,0,0,0,200,MDWFP,360,0,510,30,454,90,1865,60,85,5740,859,162,212,1262,4307,SOIL,LOW
1321,9,10,2454260.5,1,2.59,13,96,594,144,1.6,72,373,5.2,Loam,0.44,0.18,0.38,0,76.7,0,0,0,0,23.3,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,0,0,0,120,USFS,1292,192,150,0,1279,42,1350,90,30,8360,537,218,815,7315,7836,NONE,NONE
