Acalypha gracilens ,Acalypha virginica ,Acer floridanum,Acer negundo,Acer rubrum,Aesculus pavia,Agalinis tenuifolia,Ageratina altissima,Agrimonia rostellata,Agrostis elliotiana,Agrostis hyemalis,Aira elegans,Alternanthera philoxeroides,Ambrosia artemisiifolia ,Ambrosia sp,Ambrosia trifida,Amelanchier arborea ,Amphicarpea bracteata,Andropogon sp,Andropogon virginicus,Aralia spinosa,Arisaema triphyllum,Aristolochia serpentaria,Aristolochia tomentosa,Arundinaria gigantea,Arundinaria tecta,Asimina triloba,Asplenium platyneuron,Asteraceae,Athyrium filix-femina,Axonopus sp,Azolla caroliniana ,Baccharis halimifolia,Berchemia scandens ,Bidens bipinnata,Bidens frondosa,Bidens sp,Bignonia capreolata,Blephilia ciliata ,Boehmeria cylindrica,Boltonia sp,Botrychium sp,Bromus anatolicus ,Bromus arvensis,Bromus erectus,Broussonetia papyrifera,Brunnichia ovata ,Callicarpa americana,Campsis radicans,Cardiospermum halicacabum,Carex abscondita,Carex albicans,Carex austrina,Carex caroliniana,Carex cherokeensis,Carex complanata,Carex crebriflora ,Carex debilis,Carex digitalis,Carex elliottii,Carex festucacea,Carex fissa,Carex flaccosperma,Carex folliculata,Carex intumescens ,Carex longii,Carex oxylepis,Carex pigra,Carex rosea,Carex socialis,Carex sp,Carex strigosa,Carex tribuloides ,Carex vulpinoidea,Carpinus caroliniana ,Carya cordiformis ,Carya glabra,Carya illinoinensis,Carya ovata,Carya pallida,Carya sp,Carya tomentosa,Castanea pumila,Ceanothus americanus ,Celtis laevigata,Centrosema virginianum,Cephalanthus occidentalis,Cercis canadensis,Chamaecrista fasciculata,Chasmanthium laxum,Chasmanthium sessiliflorum,Cirsium sp,Clematis crispa,Clitoria mariana,Commelina virginica,Conoclinium coelestinum,Conyza canadensis,Cornus florida,Cornus sp,Cnidoscolus urens,Croton capitatus,Croton glandulosus,Crataegus sp,Cynodon dactylon,Cyperaceae sp,Cyperus erythrorhizos,Decumaria barbara,Desmodium canescens,Desmodium ciliare,Desmodium glabellum,Desmodium laevigatum,Desmodium paniculatum,Desmodium rotundifolium,Desmodium sp,Desmodium tortuosum,Desmodium viridiflorum,Dichanthelium aciculare,Dichanthelium acuminatum ,Dichanthelium boscii,Dichanthelium commutatum,Dichanthelium depauperatum,Dichanthelium dichotomum,Dichanthelium laxiflorum,Dichanthelium polyanthes,Dichanthelium scoparium,Dichanthelium sphaerocarpon,Dichanthelium sp,Digitaria sanguinalis ,Digitaria sp,Dioclea multiflora,Diodia teres,Diodia virginiana,Dioscorea villosa,Diospyros virginiana,Echinochloa crus-galli,Elaeagnus umbellata,Eleocharis obtusa,Eleocharis spp,Elephantopus carolinianus,Elephantopus tomentosa,Erechtites hieraciifolius,Erigeron canadensis,Erigeron philadelphicus,Erigeron sp,Eryngium prostratum,Euonymus americanus,Eupatorium altissimum ,Eupatorium album,Eupatorium capillifolium,Eupatorium perfoliatum,Eupatorium rotundifolium,Eupatorium serotinum,Eupatorium sp,Euphorbia maculata,Euthamia graminifolia,Fabaceae sp,Fatoua villosa,Fraxinus americana,Fraxinus pennsylvanica,Fraxinus sp,Galactia sp,Galactia volubilis,Galium circaezans,Galium erectum,Galium hispidulum,Galium obtusum,Galium pilosum,Galium sp,Galium uniflorum,Gamochaeta sp,Gelsemium sempervirens ,Gentiana sp,Gentianopsis crinita,Geranium maculatum,Hairy alt leaf,Halesia diptera,Hamamelis virginiana,Helenium autumnale,Helianthus sp,Helianthus angustifolia ,Helianthus microcephalus,Hieracium sp,Houstonia purpurea,Hydrolea quadrivalvis,Hypericum hypericoides,Hypericum mutilum ,Hypericum sp,Hypoxis hirsuta,Ilex decidua ,Ilex opaca,Ipomoea (arrow)(2061),Ipomoea pandurata,Ipomoea sp,Itea virginica,Iva annua,Juncus coriaceus ,Juncus dichotomus,Juncus effusus,Juncus sp,Juncus tenuis ,Juncus validus,Juniperus virginiana,Justicia ovata,Kummerowia striata,Lactuca canadensis,Lactuca sp,Lechea tenuifolia,Leersia oryzoides,Leersia sp,Leersia virginica ,Lespedeza bicolor,Lespedeza cuneata,Lespedeza hirta,Lespedeza procumbens,Lespedeza repens,Lespedeza sp,Lespedeza stuevei,Lespedeza virginica,Ligustrum sinense,Limnobium spongia,Lindernia sp,Liquidambar styraciflua,Lolium temulentum,Lonicera japonica,Ludwigia decurrens,Ludwigia palustris,Lycopus americanus,Lycopus sp,Lyonia ligustrina,Lyonia sp,Maianthemum sp,Mecardonia acuminata,Melica mutica,Melothria pendula,Microstegium vimineum,Mikania scandens,Mimosa quadrivalis ,Mitchella repens ,Monarda fistulosa,Morus rubra,Morus sp,Myrica cerifera,Nandina domestica ,Nekemias arborea ,Nyssa sylvatica ,Orbexilum pendunculatum ,Ostrya virginiana ,Oxalis stricta,Oxalis violacea,Oxalis sp,Oxydendrum arboreum,Panicum anceps,Panicum capillare ,Panicum dichotomiflorum,Panicum sp,Parthenocissus quinquefolia ,Paspalum notatum,Paspalum setaceum,Paspalum sp,Paspalum urvillei,Pedicularis canadensis,Persicaria hydropiperoides,Persicaria setacea ,Persicaria sp,Persicaria virginiana ,Phalaris caroliniana,Phlox pilosa,Phlox sp,Physalis sp,Physalis virginiana,Pinus echinata,Pinus taeda,Pityopsis graminifolia,Plantago aristata,Pleopeltis polypodioides,Pluchea camphorata,Poa autumnalis,Poaceae sp,Polygala polygala ,Polypremum procumbens,Polystichum acrostichoides,Potentilla simplex,Potentilla sp,Prunella vulgaris,Prunus serotina,Prunus sp,Pseudognaphalium obtusifolium,Pteridium aquilinium,Pycnanthemum tenuifolium,Pyrrhopappus carolinianus,Quercus acutissima,Quercus alba,Quercus coccinea,Quercus falcata,Quercus hemisphaerica,Quercus laurifolia,Quercus lyrata,Quercus marilandica,Quercus nigra,Quercus pagoda,Quercus phellos,Quercus rubra,Quercus sp,Quercus sp,Quercus stellata,Quercus velutina,Rhexia mariana,Rhododendron canescens,Rhus copallinum,Rhus glabra,Rhynchospora corniculata,Rhynchosia reniformis,Rhynchosia tomentosa ,Rosa carolina,Rosa multiflora ,Rosa sp,Rubus argutus ,Rubus flagellaris,Rubus sp,Rudbeckia hirta,Ruellia sp,Saccharum giganteum,Saccharum ravennae ,Saccharum sp,Salix nigra,Salvia lyrata,Sanicula canadensis,Sanicula sp,Sassafras albidum,Senna obtusifolia,Sesbania herbacea,Schizachyrium scoparium,Scleria oligantha,Scutellaria angustifolia,Scutellaria integrifolia,Scutellaria sp,Sisyrinchium sp,Smilax bona nox,Smilax glauca ,Smilax sp,Smilax rotundifolia ,Solanum carolinense,Solidago altissima,Solidago canadensis,Solidago gigantea,Solidago odora,Solidago patula,Solidago rugosum,Solidago sp,Solidago ulmifolia,Sorghum halepense,Spirodela polyrhiza,Stylosanthes biflora,Styrax grandifolius,Symphyotrichum laeve,Symphyotrichum oblongifolium,Symphyotrichum patens,Symphyotrichum sp,Taraxacum officinale,Taxodium distichum,Tephrosia onobrychoides,Tephrosia spicata,Thyrsanthella difformis,Tiarella cordifolia,Toxicodendron pubescens,Toxicodendron radicans,Trifoliate vine,Trifolium arvense,Trifolium campestre,Trifolium repens,Uknown2259,Ulmus alata,Ulmus americana,Ulmus rubra,Ulmus sp,Uknown blue green plant,Uknown 2109,Unknown R161,Unknown 2153,Unknown2023,UnknownR02,UnknownR416,Vaccinium arboreum,Vaccinium elliottii ,Vaccinium sp,Vaccinium stamineum,Verbena brasiliensis,Viburnum nudum,Viburnum rufidulum,Viburnum sp,Vicia caroliniana ,Vicia sativa,Vicia sp,Viola affinis,Viola glabra,Viola hirsutula ,Viola maculata,Viola palmata,Viola pubescens,Viola sororia ,Viola sp,Viola walteri,Vitis aestivalis,Vitis rotundifolia,Vitis sp,Vulpia sp,Wolffia columbiana,Woodwardia areolata,Xanthium strumarium,Zanthoxylum clava herculis,Zizaniopsis miliacea
0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,10,0,0,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,70,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11,0,0,3,0,0,0,0,2,0,0,0,1,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
